團型名稱,團號,價錢,出發日期,回國日期,剩餘空位,坐位總數,出發航空,出發時間,出發機場,抵達時間,抵達機場,回國航空,出發時間,出發機場,抵達時間,抵達機場,網址
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX705CIA-T,"$36,900",2018/07/05(四),2018/07/09(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX705CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX713CIA-T,"$36,900",2018/07/13(五),2018/07/17(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX713CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX719CIA-T,"$35,900",2018/07/19(四),2018/07/23(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX719CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX720CIA-T,"$35,900",2018/07/20(五),2018/07/24(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX720CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX726CIA-T,"$35,900",2018/07/26(四),2018/07/30(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX726CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX727CIA-T,"$35,900",2018/07/27(五),2018/07/31(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX727CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX802CIA-T,"$35,900",2018/08/02(四),2018/08/06(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX802CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX803CIA-T,"$35,900",2018/08/03(五),2018/08/07(二) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX803CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX809CIA-T,"$35,900",2018/08/09(四),2018/08/13(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX809CIA-T
"""【暑假特選四都京阪奈和歌山】超人氣電鐵.和服體驗.琵琶湖遊船.伏見稻荷大社.月桂冠大倉酒造記念館.燒肉五日～一晚五星""",團號:18JX816CIA-T,"$35,900",2018/08/16(四),2018/08/20(一) 抵達台灣,27,28,中華航空,14:20,桃園機場,18:05,大阪關西機場,中華航空,19:05,大阪關西機場,21:05,桃園機場,https://travel.liontravel.com/Detail?NormGroupID=4bd8dbff-5bf4-4994-9aaa-a7a2ac2668ea&GroupID=18JX816CIA-T
